icao,name,fuels,availability,lat,lon,fuel_section,error
LFDK,SOULAC SUR MER,100LL|JET_A1,100LL=self_service|JET_A1=self_service,45.493889,-1.083889,← 10 - AVT : Carburants / Fuel : 100LL - JET A1 (CIV - MIL). Carte TOTAL / TOTAL card H24. Lubrifiants / Lubricants : NIL.,
LFDL,LOUDUN,100LL,100LL=self_service,47.036111,0.100833,"← 10 - AVT : Carburant / Fuel : 100LL - Lubrifiant / Lubricant : 80-100. Automate par carte TOTAL. Paiement comptant (espèces - CB - chèque). PN 2 HR : TEL : 07 66 57 42 61. Automatic dispenser with TOTAL card. Cash payment (cash, credit card, cheque). PN 2 HR: TEL : + 33 (0)7 66 57 42 61.",
LFDM,MARMANDE VIRAZEIL,100LL,100LL=self_service,44.499167,0.200278,10 - AVT : Carburant / Fuel : 100LL. Lubrifiant / Lubricant : AERO DM. Automate SR-SS / Automatic dispenser SR-SS . Paiement : carte TOTAL / Payment : TOTAL card.,
LFDN,ROCHEFORT CHARENTE-MARITIME,100LL|JET_A1,100LL=self_service|JET_A1=self_service,45.889444,-0.982222,10 - AVT : Carburants / Fuel : 100 LL - JET A1. LUN-DIM : 0800-1600. Libre Service. MON-SUN : 0800-1600. Self-service. Paiement / Payment : CB / AVCARD.,
LFDP,SAINT PIERRE D'OLERON,100LL,100LL=self_service,45.957778,-1.311389,← 10 - AVT : Carburants / Fuel : 100LL. Automate TOTAL / TOTAL dispenser.,
LFDQ,CASTELNAU MAGNOAC,100LL,100LL=restricted,43.277500,0.519444,10 - AVT : HX. Carburants / Fuel : 100LL - Lubrifiants / Lubricants : 15 W 50 TEL : ACB.,
LFDR,LA REOLE FLOUDES,,,44.566944,-0.057222,10 - AVT : NIL.,
LFDS,SARLAT DOMME,100LL,100LL=self_service,44.792222,1.243611,"10 - AVT : Carburant / Fuel : 100 LL Automate carte TOTAL Energies / Automatic fuel dispenser TOTAL Energies card : H24. Cartes VISA ou Eurocard, espèces / VISA or Eurocard cards, cash : HX. Lubrifiants / Lubricants : NIL.",
LFDT,TARBES LALOUBERE,100LL|UL91,100LL=self_service|UL91=self_service,43.215000,0.077500,"10 - AVT : Carburants / Fuel TOTAL 100 LL et / and UL 91: station automatique de paiement par carte TOTAL ou aux heures d'ouvertures de l'aéroclub de Bigorre par carte bancaire (VISA, MASTERCARD) / automatic dispenser by TOTAL card or during ACB de Bigorre SKED by credit card (VISA, MASTERCARD).",
LFDU,LESPARRE SAINT LAURENT MEDOC,100LL,100LL=restricted,45.196389,-0.884722,"← 10 - AVT : Carburant / Fuel : 100LL , SR-SS. O/R exploitant par / by TEL.",
LFDV,COUHE VERAC,100LL|SUPER_PLUS,100LL=restricted|SUPER_PLUS=restricted,46.270556,0.188333,← 10 - AVT : Carburant / Fuel : 100 LL - SP98 - O/R ACB. Lubrifiant / Lubricant : NIL.,
LFDW,CHAUVIGNY,100LL,100LL=restricted,46.583333,0.642222,10 - AVT : 100 LL - espèces ou chèques bancaires / sur PPR / with PPR.,
LFDX,FUMEL MONTAYRAL,100LL,100LL=restricted,44.459167,1.007222,"10 - AVT : Carburant / Fuel : 100 LL Lubrifiant / Lubricant : W 80 (CIV) HX - O/R ACB - Paiement comptant, chèques ou espèces / Cheques or cash payment.",
LFDY,BORDEAUX YVRAC,100LL,100LL=restricted,44.877222,-0.479167,10 - AVT : Carburant / Fuel : 100LL - Lubrifiant / Lubricant : W 80 (CIV-MIL) HJ.,
LFEA,BELLE ILE,100LL,100LL=restricted,47.326111,-3.198889,10 - AVT : Carburant / Fuel : 100 LL. Lubrifiant / Lubricant : NIL. Uniquement en dehors des HOR ATS / only outside ATS SKED . Paiement comptant / Cash payment . Pas d'avitaillement entre le 15/11 et le 01/03 ; du 02/03 au 30/04 inclus : AVT non assuré le mercredi. No fuel between 15/11 and 01/03 ; from 02/03 up to including 30/04 : no fuel on WED.,
LFEB,DINAN TRELIVAN,100LL,100LL=self_service,48.443333,-2.103333,10 - AVT : Carburant / Fuel 100 LL. Paiement uniquement sur automate par carte de crédit ou carte TOTAL / Payment only on the automatic dispenser by credit card or TOTAL card.,
LFEC,OUESSANT,,,48.463333,-5.063611,10 - AVT : NIL.,
LFED,PONTIVY,,,48.056944,-2.923333,← 10 - AVT : AVGAS paiement par CB / payement with CB.,
LFEF,AMBOISE DIERRE,100LL,100LL=self_service,47.340556,0.941111,10 - AVT : Carburant / Fuel : 100LL. Station en libre service par automate avec carte TOTAL. Self-service station with dispenser TOTAL credit card.,
LFEG,ARGENTON SUR CREUSE,100LL,100LL=restricted,46.595833,1.601111,10 - AVT : Carburant / Fuel : 100 LL. PPR PN 24 HR auprès de l'exploitant / from AD operator. Paiement comptant chèque ou espèces / Cash payment cheque or cash.,
LFEH,AUBIGNY SUR NERE,100LL,100LL=restricted,47.479722,2.392778,← 10 - AVT : Carburant / Fuel : TOTAL : 100 LL O/R PN 1 HR TEL : ACB. PPR 24 HR E-mail.,
LFEI,BRIARE CHATILLON,100LL,100LL=restricted,47.614444,2.781944,← 10 - AVT : Carburants / Fuel : 100 LL (CIV-MIL). Lubrifiants / Lubricants : NIL. 0700-1600 sauf MER / except WED. Chèque bancaire préféré. / Bank cheque preferred.,
LFEJ,CHATEAUROUX VILLERS,100LL,100LL=self_service,46.840833,1.620000,"10 - AVT : AVGAS 100 LL : Automate, paiement CB exclusivement / Automatic dispenser, credit card only (SR-30, SS+30).",
LFEK,ISSOUDUN LE FAY,,,46.888611,2.041389,10 - AVT : NIL.,
LFEL,LE BLANC,,,46.620000,1.085833,10 - AVT : NIL.,
LFEM,MONTARGIS VIMORY,100LL,100LL=self_service,47.960556,2.685833,10 - AVT : Carburant / Fuel : 100 LL Automate H24 Paiement comptant et carte TOTAL Automatic dispenser H24 Cash payment and TOTAL card.,
LFEN,TOURS SORIGNY,,,47.266389,0.699167,← 10 - AVT : NIL.,
LFEP,POUILLY MACONGE,,,47.220556,4.560278,10 - AVT : Réservé / Reserved ACB.,
LFEQ,QUIBERON,100LL|JET_A1,100LL=self_service|JET_A1=self_service,47.481389,-3.101667,"10 - AVT : Carburant / Fuel : AVGAS 100LL / JET A1 Automate / automatic dispenser AIR TOTAL H24. Pendant les horaires ATS / During ATS SKED : TEL ATS ou / or E-mail ATS. Absence ATS PPR 48 HR - TEL : 02 97 30 24 00 ou / or E-mail ATS. Lubrifiants / Lubricants : NIL Paiement / Payment : Carte TOTAL, comptant, chèque ou carte bancaire / TOTAL card, cash, cheque or credit card.",
LFER,REDON BAINS SUR OUST,,,47.698611,-2.038056,10 - AVT : NIL.,
LFES,GUISCRIFF SCAER,100LL,100LL=self_service,48.053611,-3.664167,10 - AVT : Carburants / Fuel : 100 LL. Lubrifiants / Lubricants : 100 : H 24 si paiement par carte TOTAL / H 24 if payment by TOTAL card . Paiement par carte TOTAL. Payment by TOTAL card.,
LFET,TIL CHATEL,100LL,100LL=unknown,47.546389,5.210833,10 - AVT : Carburant / Fuel : 100 LL - Lubrifiant / Lubricant : 80-100.,
LFEU,BAR LE DUC LES HAUTS DE CHEE,,,48.868889,5.188611,10 - AVT : NIL.,
LFEV,GRAY SAINT ADRIEN,100LL|JET_A1,100LL=self_service|JET_A1=self_service,47.432222,5.621389,"10 - AVT : Carburant / Fuel : 100 LL et / and JET A1, H24 et / and 7j/7 / 7 days on 7. Lubrifiant / Lubricants : possible. S'adresser à / Contact JG Aviation. Paiement carte TOTAL uniquement sur automate / Payment by TOTAL card only on automatic dispenser.",
LFEW,SAULIEU LIERNAIS,100LL,100LL=restricted,47.238611,4.264444,10 - AVT : Carburant / Fuel : 100LL. Lubrifiants / Lubricants: 80 W - 100 W HX O/R. Paiement comptant ou chèques / Cash payment or cheques.,
LFEX,NANCY AZELOT,,,48.591944,6.239722,10 - AVT : NIL.,
LFEY,ILE D'YEU,,,46.717500,-2.392500,10 - AVT : NIL.,
LFEZ,NANCY MALZEVILLE,,,48.723611,6.206389,10 - AVT : NIL.,
LFFB,BUNO BONNEVAUX,100LL,100LL=restricted,48.350278,2.424444,"10 - AVT : Carburant / Fuel : 100LL, Super - Lubrifiants / Lubricants : 80 - 100 - 120. Réservé ACB / Reserved for ACB .",
LFFC,MANTES CHERENCE,100LL,100LL=restricted,49.078056,1.688333,10 - AVT : Carburant / Fuel : 100LL (réservé ACB / reserved for ACB ) - Lubrifiant / Lubricant : NIL.,
LFFD,SAINT ANDRE DE L'EURE,100LL,100LL=self_service,48.897500,1.250833,"10 - AVT : Carburant / Fuel : 100LL disponible : automate / dispenser. Paiement / payment : carte de crédit, carte TOTAL / credit card, TOTAL card.",
LFFE,ENGHIEN MOISSELLES,100LL,100LL=unknown,49.045556,2.351944,10 - AVT : Carburant / Fuel 100 LL.,
LFFG,LA FERTE GAUCHER,,,48.757500,3.278889,10 - AVT : NIL.,
LFFH,CHATEAU THIERRY BELLEAU,,,49.066667,3.355556,10 - AVT : NIL.,
LFFI,ANCENIS,100LL|JET_A1,100LL=self_service|JET_A1=self_service,47.407222,-1.178889,"10 - AVT : Carburant / Fuel : 100LL, JET A1. Lubrifiant / Lubricant : NIL. Station automatique : carte de crédit ou paiement comptant. Automatic fuel dispenser : credit card or cash payment.",
LFFJ,JOINVILLE MUSSEY,,,48.385278,5.143333,10 - AVT : NIL.,
LFFK,FONTENAY LE COMTE,,,46.440833,-0.793889,← 10 - AVT : NIL.,
LFFL,BAILLEAU ARMENONVILLE,100LL|UL91,100LL=restricted|UL91=restricted,48.514722,1.638611,10 - AVT : Carburant / Fuel AVGAS 100LL et AVGAS UL91. Lubrifiant / Lubricant : qualité aviation / aviation quality. Réservé aux ACFT basés / Reserved for home-based ACFT.,
LFFN,BRIENNE LE CHATEAU,100LL,100LL=unknown,48.429722,4.482222,← 10 - AVT : 100 LL. .,
LFFO,BEAUVOIR FROMENTINE,JET_A1,JET_A1=restricted,46.890556,-2.088611,"10 - AVT : Jet A1 disponible pour HEL uniquement, O/R OYA Vendée Hélicoptères. Jet A1 available for HEL only O/R OYA Vendée Helicoptères.",
LFFP,PITHIVIERS,100LL,100LL=restricted,48.156389,2.191111,10 - AVT : Carburant / Fuel : 100 LL - Lubrifiant / Lubricant : 60 (CIV) HX (voir / see ACB).,
LFFQ,LA FERTE ALAIS,100LL|JET_A1,100LL=unknown|JET_A1=self_service,48.499444,2.330000,10 - AVT : Carburant / Fuel : 100 LL; JET A1 : Automate Carte BP / BP card dispenser.,
LFFR,BAR SUR SEINE,,,48.066111,4.412500,10 - AVT : NIL.,
LFFT,NEUFCHATEAU,,,48.361667,5.720278,10 - AVT : NIL.,
LFFU,CHATEAUNEUF SUR CHER,100LL,100LL=restricted,46.871111,2.376944,10 - AVT : Carburant / Fuel : 100LL - Lubrifiants / Lubricants : 80-800 (CIV-MIL) HX TEL : ACB (PPR la veille / PPR the day before).,
LFFV,VIERZON MEREAU,,,47.194722,2.066667,"10 - AVT : Carburant / Fuel : NIL, Lubrifiant / Lubricant : NIL.",
LFFW,MONTAIGU ST GEORGES,,,46.932222,-1.327222,10 - AVT : NIL.,
LFFX,TOURNUS CUISERY,,,46.561389,4.975278,10 - AVT : NIL.,
LFFY,ETREPAGNY,100LL,100LL=restricted,49.305278,1.637778,← 10 - AVT : AVGAS 100 LL réservé aux ACFT basés / reserved for home-based ACFT .,
LFFZ,SEZANNE SAINT REMY,100LL|UL91,100LL=restricted|UL91=restricted,48.709444,3.762778,"10 - AVT : Carburant / Fuel : 100 LL, UL 91 - HX. Paiement comptant chèque ou espèce / Payment : cheque or cash.",
LFGA,COLMAR HOUSSEN,100LL|JET_A1,100LL=restricted|JET_A1=restricted,48.110278,7.359167,"← 10 - AVT : Lubrifiants / Lubricants : NIL Carburant / Fuel : 100LL, JET A1 , AVGAS. LUN-VEN / MON-FRI : 0700-1100, 1300-1600. LUN-VEN / MON-FRI : 1100-1300 PPR 24 HR exploitant AD / AD operator Hors HOR / Outside SKED : PPR 72 HR exploitant AD / AD operator Paiement comptant, chèque ou carte de crédit. Paiement 24/7 avec carte AIR BP. Cash payment, cheque or credit card. Payment 24/7 with AIR BP card.",
LFGB,MULHOUSE HABSHEIM,100LL,100LL=restricted,47.737222,7.429722,"10 - AVT : Carburant / Fuel : 100 LL, Lubrifiant / Lubricant : qualité aviation / aviation quality (CIV). MULHOUSE Air service : LUN-JEU / MON-THU : 0700-1100, 1230-1700. VEN / FRI : 0700-1100, 1230-1530. Règlement : chèque, CB ou espèces / Payment : check, credit card or cash. TEL : 03 89 44 17 80 - FAX : 03 89 63 76 45.",
LFGC,STRASBOURG NEUHOF,100LL|JET_A1,100LL=unknown|JET_A1=unknown,48.553611,7.777500,10 - AVT : Carburant / Fuel : AVGAS 100 LL - JET A1. Paiement par CB ou carte AEGFuel avec préavis conseillé au 07 72 07 16 06. Payment by credit card or AEGFuel card with advised PN at 07 72 07 16 06.,
LFGE,AVALLON,100LL,100LL=restricted,47.501944,3.898333,10 - AVT : Carburant / Fuel : 100LL - Lubrifiant / Lubricant : W80D (CIV) - HX Réservé aux membres de l'ACB / Reserved for ACB members.,
LFGF,BEAUNE CHALLANGES,100LL,100LL=self_service,47.010278,4.896389,← 10 - AVT : Carburant / Fuel : 100LL H24 automate carte TOTAL et cartes bancaires / H24 automate TOTAL and credit cards. Paiement comptant / cash payment : HOR / SKED : O/R ACB Beaunois Lubrifiant / Lubricant : 15W50 (CIV). HOR/ SKED : O/R (contact : voir / see ACB Beaunois ou / or Air Services 21).,
LFGG,BELFORT CHAUX,100LL,100LL=restricted,47.701111,6.830833,"10 - AVT : Carburants / Fuel : 100 LL . Appelez au préalable / Contact before : 07 44 80 05 28 Paiement comptant, chèque ou carte de crédit / Cash payment, cheque or credit card.",
LFGH,COSNE SUR LOIRE,100LL,100LL=restricted,47.360278,2.918333,"← 10 - AVT : Carburant / Fuel : 100 LL LUN-JEU / MON-THU : 0600-1000 et/ and 1200-1500, VEN / FRI : 0600-0900. En dehors de ces HOR, O/R Loire Aviation / Outside these SKED, O/R Loire Aviation. Paiement par chèque ou espèce / Cheque payment or cash payment.",
LFGI,DIJON DAROIS,100LL|JET_A1|SUPER_PLUS,100LL=unknown|JET_A1=unknown|SUPER_PLUS=unknown,47.385278,4.946944,"10 - AVT : Carburant / Fuel : 100LL : AIR TOTAL : carte de crédit TOTAL ou paiement comptant à l'ACB / TOTAL credit card or cash payment to the ACB. JET A1, 100LL, SP95 : AVIA TEL : 06 49 75 14 88. Règlement possible par carte bancaire / possible payment by credit card.",
LFGJ,DOLE TAVAUX,100LL|JET_A1,100LL=restricted|JET_A1=restricted,47.042778,5.435000,"10 - AVT : Carburants / Fuels : 100 LL, JET A1 - Lubrifiants / Lubricants : NIL. (CIV-MIL) paiement comptant, carte BP, carte bancaires / cash, BP card, credit cards. HOR ATS / ATS SKED.",
LFGK,JOIGNY,100LL,100LL=restricted,47.994444,3.390833,10 - AVT : Carburants / Fuel : 100 LL - HX. Paiement comptant / Cash payment. PPR 48 HR.,
LFGL,LONS LE SAUNIER COURLAOUX,100LL,100LL=restricted,46.675000,5.469167,"10 - AVT : Carburant / Fuel : 100LL, Lubrifiant / Lubricant : W 80 (CIV) - HX Paiement comptant ou chèques / Cash payment or cheques. TEL : 03 84 24 71 81.",
LFGM,MONTCEAU LES MINES POUILLOUX,100LL|UL91,100LL=self_service|UL91=restricted,46.603333,4.332778,"10 - AVT : Carburant / Fuel: 100 LL Automate avec carte de crédit TOTAL H 24 / Automatic dispenser with TOTAL credit card H24. UL 91, Lubrifiant / Lubricant: 80 - 100 W : 0800-1500 tous les jours (été), sauf mardi (hiver). Réglement par CB, chèques ou espèces / 0800-1500 every day (summer), except tuesday (winter). CB, cash payment or cheque.",
LFGN,PARAY LE MONIAL,,,46.466667,4.133056,10 - AVT : NIL.,
LFGO,PONT SUR YONNE,100LL,100LL=self_service,48.289444,3.248889,"10 - AVT : Carburant / Fuel : 100LL. Lubrifiant / Lubricant : NIL. Paiement : carte TOTAL (Automate) tous les jours, possiblité chèque ou espèces SAM et DIM . Payment : TOTAL card (automatic) every day, cheque or cash possible SAT and SUN.",
LFGP,SAINT FLORENTIN CHEU,,,47.981389,3.776944,10 - AVT : NIL.,
LFGQ,SEMUR EN AUXOIS,100LL,100LL=restricted,47.481111,4.343056,"10 - AVT : Carburant / Fuel : 100LL (CIV) HX ou / or O/R PN 48 HR à / to ACB. Paiement par chèque, espèces / Cheque and cash payment.",
LFGR,DONCOURT LES CONFLANS,100LL,100LL=restricted,49.151944,5.931389,"10 - AVT : Carburant / Fuel : 100 LL, Lubrifiant / Lubricant : aéro DM 15W50. HX. Paiement comptant ou par carte TOTAL. Cash payment or by TOTAL credit card.",
LFGS,LONGUYON VILLETTE,100LL,100LL=restricted,49.483611,5.571944,10 - AVT : Carburant / Fuel : 100 LL. Réservé aux aéronefs basés / Reserved for home-based ACFT.,
LFGT,SARREBOURG BUHL,,,48.718333,7.080000,10 - AVT : NIL.,
LFGU,SARREGUEMINES NEUNKIRCH,100LL,100LL=unknown,49.127500,7.106667,← 10 - AVT : Carburant / Fuel : 100LL.,
LFGW,VERDUN SOMMEDIEUE,100LL,100LL=self_service,49.122222,5.470833,10 - AVT : Carburant / Fuel : 100LL. Automate carte Total / Total card automatic dispenser.,
LFGX,CHAMPAGNOLE CROTENAY,,,46.763333,5.819722,10 - AVT : NIL.,
LFGY,SAINT DIE REMOMEIX,100LL,100LL=self_service,48.266389,7.007500,10 - AVT : Carburants / Fuel : 100 LL. Automate H24 : paiement carte TOTAL uniquement / H24 dispenser: payment TOTAL card only. Lubrifiants / Lubricants : NIL.,
LFGZ,NUITS SAINT GEORGES,100LL,100LL=restricted,47.142222,4.968333,"← 10 - AVT : Carburant / Fuel : 100LL, Lubrifiant / Lubricant : NIL. Uniquement sur demande, en contactant l'AD - Paiement comptant. Only O/R after contact with AD - Cash payment.",
LFHA,ISSOIRE LE BROC,100LL,100LL=restricted,45.513889,3.266111,"10 - AVT : Carburant / Fuel : 100 LL , contacter / call ACB Pierre Herbaud.",
LFHB,BISCARROSSE HYDROBASE,,,44.360000,-1.167778,10 - AVT : NIL.,
LFHC,PEROUGES MEXIMIEUX,UL91,UL91=restricted,45.868611,5.186111,10 - AVT : Carburant / Fuel : UL91 (CIV-MIL) HX. Paiement comptant / Cash payment TEL : 04 27 41 01 43. Quantité limitée / Limited amount.,
LFHD,PIERRELATTE,100LL,100LL=restricted,44.397778,4.716944,"10 - AVT : Carburants / Fuel : 100 LL - Lubrifiants / Lubricants : 80 D. HJ sauf LUN et MAR. Paiement chèques, espèces, carte bleue ou carte TOTAL. HJ except on MON, TUE. Payment by cheque, cash, credit card or TOTAL card.",
LFHE,ROMANS SAINT PAUL,100LL,100LL=restricted,45.064722,5.101389,← 10 - AVT : HJ - Carburant / Fuel 100 LL sur demande à / O/R to 07 69 75 73 26 - Lubrifiant / Lubricant : NIL. HX : carte TOTAL uniquement / TOTAL card only. Automate / Automaton.,
LFHF,RUOMS,,,44.444722,4.332778,10 - AVT : NIL.,
LFHG,SAINT CHAMOND L'HORME,100LL,100LL=restricted,45.491944,4.534444,10 - AVT : Réservé aux aéronefs basés / Reserved for home-based aircraft. Carburants / Fuel : 100LL. Lubrifiants / Lubricant : 80 (CIV) HJ sauf LUN / Daytime except MON.,
LFHH,VIENNE REVENTIN,100LL,100LL=unknown,45.462778,4.827778,"10 - AVT : carburant / fuel : 100LL ; lubrifiant / lubricant : qualité aviation / aviation type. (CIV-MIL) paiement comptant, quantité limitée / Cash payment, limited quantity.",
LFHI,MORESTEL,100LL,100LL=restricted,45.686944,5.452500,"10 - AVT : Carburant / Fuel : 100LL, Lubrifiant / Lubricant : NIL. O/R ACB. Paiement comptant / Cash payment.",
LFHJ,LYON CORBAS,100LL,100LL=restricted,45.652778,4.912222,10 - AVT : Carburant / Fuel : 100 LL (CIV) - Lubrifiant / Lubricant : qualité aviation / aviation quality (CIV). HX (réservé aux ACFT basés / reserved for home based ACFT ).,
LFHL,LANGOGNE LESPERON,,,44.705556,3.887222,10 - AVT : NIL.,
LFHM,ALTIPORT / MOUNTAIN AIRFIELD,100LL|JET_A1,100LL=restricted|JET_A1=restricted,45.824444,6.648333,10 - AVT : Carburants / Fuel : 100LL. Exploitant sur AD / Operator on AD. JET A1 : MBH TEL : 04 50 92 78 00. HJ O/R 24HR paiement comptant ou par chèques / Cash payment or cheques. Lubrifiant / Lubricant : NIL.,
LFHN,BELLEGARDE VOUVRAY,100LL,100LL=restricted,46.123333,5.804722,"← 10 - AVT : 100 LL / AKI (compatible Rotax). Paiement comptant cash ou chèque à l'ACB, par CB sur rendez-vous avec l'ACB. Cash payment or cheque to ACB, credit cards by appointment with ACB.",
LFHO,AUBENAS ARDECHE MERIDIONALE,100LL|JET_A1,100LL=self_service|JET_A1=self_service,44.539444,4.371667,"10 - AVT : 100 LL : H24. Automate avec carte bancaire. JET A1 : du LUN au VEN sauf JF : avec préavis de 24 HR, carte bancaire uniquement. 100 LL: H24. Fuel dispenser with credit card. JET A1: from MON to FRI except HOL: with PN 24 HR, credit card only.",
LFHP,LE PUY LOUDES,100LL|JET_A1,100LL=self_service|JET_A1=self_service,45.079722,3.763333,"10 - AVT : HOR RFFS / RFFS SKED. Automate H24 CB / Automatic fuel dispenser H24 CB. Carburants / Fuel : 100 LL : 20 m³, JET A1 : 40 m³.",
LFHQ,SAINT FLOUR COLTINES,100LL,100LL=self_service,45.075000,2.992500,"← 10 - AVT : Carburant / Fuel : 100 LL, AKI93 Présence d'un AUTOMATE CB uniquement (carte TOTAL non acceptée) / Automatic credit card machine (TOTAL card not accepted).",
LFHR,BRIOUDE BEAUMONT,,,45.323889,3.358333,10 - AVT : Réservé aux aéronefs basés.,
LFHS,BOURG CEYZERIAT,100LL|UL91,100LL=self_service|UL91=self_service,46.205556,5.291667,"10 - AVT : AVGAS 100 LL et UL 91 H24 par carte TOTAL, ou bureau de piste par chèque, espèces et CB. AVGAS 100 LL and UL 91 H24 by TOTAL card, or cheque, cash or credit card in reporting office. HOR / SKED : 0900-1600.",
LFHT,AMBERT LE POYET,100LL,100LL=self_service,45.515556,3.745000,10 - AVT : Carburants / Fuel : 100 LL. Pas de pompe automatique / No automatic fuel pump. Lubrifiants / Lubricants : qualité aviation / aviation type. (CIV) HJ O/R.,
LFHU,ALTIPORT/MOUNTAIN AIRFIELD,100LL|JET_A1,100LL=unknown|JET_A1=unknown,45.087500,6.083611,"10 - AVT : Carburant / Fuel : 100LL (1) - JET A1 (2) - Lubrifiant / Lubricant : NIL. (1) Association de Gestion de l'Altiport - JACK PORTE - TEL : 06 88 48 70 49. Distribution uniquement pendant les saisons touristiques, règlement par chèques ou espèces accepté. Delivery only during touristic seasons, cash payment or cheques accepted. (2) Service Aérien Français - TEL : 04 76 80 65 49. Paiement comptant, ou chèques. Cash payment, or cheques.",
LFHV,VILLEFRANCHE TARARE,100LL|JET_A1,100LL=self_service|JET_A1=self_service,45.920000,4.635000,"10 - AVT : Carburant / Fuel : JET A1, AVGAS 100LL - HOR / SKED : H24. Paiement par automate carte bancaire / Payment by automatic dispenser. MIL : carte AEG acceptée sur demande auprès de l'exploitant / AEG card granted on request from operator",
LFHW,BELLEVILLE VILLIE MORGON,,,46.141111,4.713889,← 10 - AVT : NIL,
LFHX,LAPALISSE PERIGNY,,,46.253056,3.587500,10 - AVT : NIL,
LFHY,MOULINS MONTBEUGNY,100LL|JET_A1,100LL=self_service|JET_A1=self_service,46.534444,3.421667,"10 - AVT : Carburant / Fuel : 100LL, JET A1. Possibilité d'avitaillement sous pression / Coupling available. Automate avec carte TOTAL H24 / Automatic fuel dispenser with TOTAL card : H24. Lubrifiant / Lubricant : NIL. ← HOR AFIS : Paiement comptant, carte VISA / AFIS SKED : cash payment, VISA card.",
LFIB,BELVES SAINT PARDOUX,,,44.781389,0.957500,10 - AVT : NIL.,
LFID,CONDOM VALENCE SUR BAÏSE,,,43.909167,0.386111,← 10 - AVT : NIL,
LFIF,SAINT AFFRIQUE BELMONT,100LL,100LL=restricted,43.822778,2.747222,10 - AVT : Carburants / Fuel : 100 LL - Lubrifiant / Lubricants : NIL. O/R,
LFIG,CASSAGNES BEGONHES,,,44.178333,2.517778,10 - AVT : NIL.,
LFIH,CHALAIS,,,45.266944,0.015833,10 - AVT : NIL.,
LFIK,RIBERAC TOURETTE,,,45.239444,0.265833,10 - AVT : NIL.,
LFIL,RION DES LANDES,,,43.915833,-0.949167,10 - AVT : NIL.,
LFIM,SAINT GAUDENS MONTREJEAU,100LL,100LL=restricted,43.107500,0.619167,10 - AVT : Carburant / Fuel : 100 LL - Lubrifiant / Lubricant : 80 CIV HX - TEL : ACB du Comminges.,
LFIP,ALTIPORT / MOUNTAIN AIRFIELD,,,42.796944,0.433889,10 - AVT : NIL.,
LFIR,REVEL MONTGEY,,,43.480278,1.978889,"10 - AVT : Carburant / Fuel : 91 UL, O/R. TEL : 05 61 83 53 73. Paiement comptant / Cash Payment.",
LFIS,SAINT INGLEVERT LES DEUX CAPS,,,50.882500,1.736111,10 - AVT : NIL.,
LFIT,TOULOUSE BOURG SAINT BERNARD,UL91,UL91=restricted,43.611111,1.724167,10 - AVT : Carburant / Fuel : UL 91. Lubrifiant / Lubricant : NIL. HX réservé aux ACFT basés / reserved for home based ACFT.,
LFIV,VENDAYS MONTALIVET,,,45.380556,-1.115833,10 - AVT : NIL.,
LFIX,ITXASSOU,100LL,100LL=restricted,43.336389,-1.423333,10 - AVT : Carburant / Fuel : 100LL - Lubrifiant / Lubricant : 100. Réservé aux avions de servitude du centre de vol à voile / Reserved for service ACFT from gliding center.,
LFIY,SAINT JEAN D'ANGELY ESSOUVERT,,,45.965278,-0.524444,← 10 - AVT : Carburant / Fuel : NIL.,
LFJA,CHAUMONT SEMOUTIERS,,,48.091667,5.050000,10 - AVT : Carburant / Fuel : NIL,
LFJB,MAULEON,,,46.903056,-0.697500,10 - AVT : NIL.,
LFJC,CLAMECY,,,47.437500,3.507500,10 - AVT : NIL.,
LFJD,ALTIPORT / MOUNTAIN AIRFIELD,,,46.039722,5.496111,10 - AVT : NIL.,
LFJE,ALTIPORT / MOUNTAIN AIRFIELD,,,44.496667,5.403333,10 - AVT : NIL.,
LFJF,AUBENASSON,,,44.695278,5.153889,10 - AVT : NIL.,
LFJH,CAZERES PALAMINY,,,43.200833,1.050000,10 - AVT : NIL.,
LFJI,MARENNES,,,45.823889,-1.077222,10 - AVT : NIL.,
LFJL,METZ NANCY LORRAINE,JET_A1,JET_A1=restricted,48.978333,6.246667,"10 - AVT : Carburant / Fuel : JET A1. LUN-DIM : pour tout ACFT commercial programmé. En dehors de ces créneaux, renseignements auprès de l'exploitant avec possibilité sur demande via astreinte. MON-SUN : for any scheduled commercial ACFT. Outside these SKED, ask AD operator with possible O/R via on call duty. E-mail / TEL Exploitant / AD operator .",
LFJR,ANGERS MARCE,100LL|JET_A1,100LL=self_service|JET_A1=self_service,47.560278,-0.312222,"10 - AVT : Carburants / Fuel : 100LL, JET A1. Lubrifiant / Lubricant : NIL. Automate H24 par carte bancaire ou badge EDEIS uniquement. Camion 13 m3 : LUN-VEN : 0730-1645 SAM-DIM : Sur demande Paiement comptant pendant les horaires d'ouverture, cartes acceptées : AEG, AVCARD, COLT Intl, WFS. Avitaillement à crédit avec World Fuel Service et AEG. Automatic fuel dispenser H24 with credit card or EDEIS badge only. 13 m3 Fuel Truck : MON-FRI : 0730-1645 SAT-SUN : O/R Cash payment during opening hours, cards accepted : AEG, AVCARD, COLT Intl, WFS. Fuel release via World Fuel Service and AEG. © Service de l'Information Aéronautique, France AMDT 06/25 AD 2 LFJR TXT 04 AIP FRANCE 15 MAY 2025 ANGERS MARCE",
