icao,name,fuels,lat,lon,avt_excerpt,error
LFEW,SAULIEU LIERNAIS,100LL,47.238611,4.264444,10 - AVT : Carburant / Fuel : 100LL. Lubrifiants / Lubricants: 80 W - 100 W HX O/R. Paiement comptant ou chèques / Cash payment or cheques.,
LFEX,NANCY AZELOT,,48.591944,6.239722,10 - AVT : NIL.,
LFEY,ILE D'YEU,,46.717500,-2.392500,10 - AVT : NIL.,
LFEZ,NANCY MALZEVILLE,,48.723611,6.206389,10 - AVT : NIL.,
LFFB,BUNO BONNEVAUX,100LL,48.350278,2.424444,"10 - AVT : Carburant / Fuel : 100LL, Super - Lubrifiants / Lubricants : 80 - 100 - 120. Réservé ACB / Reserved for ACB .",
LFFC,MANTES CHERENCE,100LL,49.078056,1.688333,10 - AVT : Carburant / Fuel : 100LL (réservé ACB / reserved for ACB ) - Lubrifiant / Lubricant : NIL.,
LFFD,SAINT ANDRE DE L'EURE,100LL,48.897500,1.250833,"10 - AVT : Carburant / Fuel : 100LL disponible : automate / dispenser. Paiement / payment : carte de crédit, carte TOTAL / credit card, TOTAL card.",
LFFE,ENGHIEN MOISSELLES,100LL,49.045556,2.351944,10 - AVT : Carburant / Fuel 100 LL.,
LFFG,LA FERTE GAUCHER,,48.757500,3.278889,10 - AVT : NIL.,
LFFH,CHATEAU THIERRY BELLEAU,,49.066667,3.355556,10 - AVT : NIL.,
LFFI,ANCENIS,100LL|JET_A1,47.407222,-1.178889,"10 - AVT : Carburant / Fuel : 100LL, JET A1. Lubrifiant / Lubricant : NIL. Station automatique : carte de crédit ou paiement comptant. Automatic fuel dispenser : credit card or cash payment.",
LFFJ,JOINVILLE MUSSEY,,48.385278,5.143333,10 - AVT : NIL.,
LFFK,FONTENAY LE COMTE,,46.440833,-0.793889,← 10 - AVT : NIL.,
LFFL,BAILLEAU ARMENONVILLE,100LL|UL91,48.514722,1.638611,10 - AVT : Carburant / Fuel AVGAS 100LL et AVGAS UL91. Lubrifiant / Lubricant : qualité aviation / aviation quality. Réservé aux ACFT basés / Reserved for home-based ACFT.,
LFFN,BRIENNE LE CHATEAU,100LL,48.429722,4.482222,← 10 - AVT : 100 LL. .,
LFFO,BEAUVOIR FROMENTINE,JET_A1,46.890556,-2.088611,"10 - AVT : Jet A1 disponible pour HEL uniquement, O/R OYA Vendée Hélicoptères. Jet A1 available for HEL only O/R OYA Vendée Helicoptères.",
LFFP,PITHIVIERS,100LL,48.156389,2.191111,10 - AVT : Carburant / Fuel : 100 LL - Lubrifiant / Lubricant : 60 (CIV) HX (voir / see ACB).,
LFFQ,LA FERTE ALAIS,100LL|JET_A1,48.499444,2.330000,10 - AVT : Carburant / Fuel : 100 LL; JET A1 : Automate Carte BP / BP card dispenser.,
LFFR,BAR SUR SEINE,,48.066111,4.412500,10 - AVT : NIL.,
LFFT,NEUFCHATEAU,,48.361667,5.720278,10 - AVT : NIL.,
LFFU,CHATEAUNEUF SUR CHER,100LL,46.871111,2.376944,10 - AVT : Carburant / Fuel : 100LL - Lubrifiants / Lubricants : 80-800 (CIV-MIL) HX TEL : ACB (PPR la veille / PPR the day before).,
LFFV,VIERZON MEREAU,,47.194722,2.066667,"10 - AVT : Carburant / Fuel : NIL, Lubrifiant / Lubricant : NIL.",
LFFW,MONTAIGU ST GEORGES,,46.932222,-1.327222,10 - AVT : NIL.,
LFFX,TOURNUS CUISERY,,46.561389,4.975278,10 - AVT : NIL.,
LFFY,ETREPAGNY,100LL,49.305278,1.637778,← 10 - AVT : AVGAS 100 LL réservé aux ACFT basés / reserved for home-based ACFT .,
LFFZ,SEZANNE SAINT REMY,100LL|UL91,48.709444,3.762778,"10 - AVT : Carburant / Fuel : 100 LL, UL 91 - HX. Paiement comptant chèque ou espèce / Payment : cheque or cash.",
LFGA,COLMAR HOUSSEN,100LL|JET_A1,48.110278,7.359167,"← 10 - AVT : Lubrifiants / Lubricants : NIL Carburant / Fuel : 100LL, JET A1 , AVGAS. LUN-VEN : 0700-1100, 1300-1600. SAM, DIM et JF : - Du 1er nov au 1er mars : 0900-1200, 1300-1600 - Du 1er mars au 1er nov : 0900-1200, 1300-1700 LUN-VEN : 1100-1300 PPR PN 2 HR exploitant AD. En dehors de ces HOR :",
LFGB,MULHOUSE HABSHEIM,100LL,47.737222,7.429722,"10 - AVT : Carburant / Fuel : 100 LL, Lubrifiant / Lubricant : qualité aviation / aviation quality (CIV). MULHOUSE Air service : LUN-JEU / MON-THU : 0700-1100, 1230-1700. VEN / FRI : 0700-1100, 1230-1530. Règlement : chèque, CB ou espèces / Payment : check, credit card or cash. TEL : 03 89 44 17 80 ",
LFGC,STRASBOURG NEUHOF,100LL|JET_A1,48.553611,7.777500,10 - AVT : Carburant / Fuel : AVGAS 100 LL - JET A1. Paiement par CB ou carte AEGFuel avec préavis conseillé au 07 72 07 16 06. Payment by credit card or AEGFuel card with advised PN at 07 72 07 16 06.,
LFGE,AVALLON,100LL,47.501944,3.898333,10 - AVT : Carburant / Fuel : 100LL - Lubrifiant / Lubricant : W80D (CIV) - HX Réservé aux membres de l'ACB / Reserved for ACB members.,
LFGF,BEAUNE CHALLANGES,100LL,47.010278,4.896389,← 10 - AVT : Carburant / Fuel : 100LL H24 automate carte TOTAL et cartes bancaires / H24 automate TOTAL and credit cards. Paiement comptant / cash payment : HOR / SKED : O/R ACB Beaunois Lubrifiant / Lubricant : 15W50 (CIV). HOR/ SKED : O/R (contact : voir / see ACB Beaunois ou / or Air Services 21),
LFGG,BELFORT CHAUX,100LL,47.701111,6.830833,"10 - AVT : Carburants / Fuel : 100 LL . Appelez au préalable / Contact before : 07 44 80 05 28 Paiement comptant, chèque ou carte de crédit / Cash payment, cheque or credit card.",
LFGH,COSNE SUR LOIRE,100LL,47.360278,2.918333,"← 10 - AVT : Carburant / Fuel : 100 LL LUN-JEU / MON-THU : 0600-1000 et/ and 1200-1500, VEN / FRI : 0600-0900. En dehors de ces HOR, O/R Loire Aviation / Outside these SKED, O/R Loire Aviation. Paiement par chèque ou espèce / Cheque payment or cash payment.",
LFGI,DIJON DAROIS,100LL|JET_A1|SUPER_PLUS,47.385278,4.946944,"10 - AVT : Carburant / Fuel : 100LL : AIR TOTAL : carte de crédit TOTAL ou paiement comptant à l'ACB / TOTAL credit card or cash payment to the ACB. JET A1, 100LL, SP95 : AVIA TEL : 06 49 75 14 88. Règlement possible par carte bancaire / possible payment by credit card.",
LFGJ,DOLE TAVAUX,100LL|JET_A1,47.042778,5.435000,"10 - AVT : Carburants / Fuels : 100 LL, JET A1 - Lubrifiants / Lubricants : NIL. (CIV-MIL) paiement comptant, carte BP, carte bancaires / cash, BP card, credit cards. HOR ATS / ATS SKED.",
LFGK,JOIGNY,100LL,47.994444,3.390833,10 - AVT : Carburants / Fuel : 100 LL - HX. Paiement comptant / Cash payment. PPR 48 HR.,
LFGL,LONS LE SAUNIER COURLAOUX,100LL,46.675000,5.469167,"10 - AVT : Carburant / Fuel : 100LL, Lubrifiant / Lubricant : W 80 (CIV) - HX Paiement comptant ou chèques / Cash payment or cheques. TEL : 03 84 24 71 81.",
LFGM,MONTCEAU LES MINES POUILLOUX,100LL|UL91,46.603333,4.332778,"10 - AVT : Carburant / Fuel: 100 LL Automate avec carte de crédit TOTAL H 24 / Automatic dispenser with TOTAL credit card H24. UL 91, Lubrifiant / Lubricant: 80 - 100 W : 0800-1500 tous les jours (été), sauf mardi (hiver). Réglement par CB, chèques ou espèces / 0800-1500 every day (summer), except t",
LFGN,PARAY LE MONIAL,,46.466667,4.133056,10 - AVT : NIL.,
LFGO,PONT SUR YONNE,100LL,48.289444,3.248889,"10 - AVT : Carburant / Fuel : 100LL. Lubrifiant / Lubricant : NIL. Paiement : carte TOTAL (Automate) tous les jours, possiblité chèque ou espèces SAM et DIM . Payment : TOTAL card (automatic) every day, cheque or cash possible SAT and SUN.",
LFGP,SAINT FLORENTIN CHEU,,47.981389,3.776944,10 - AVT : NIL.,
LFGQ,SEMUR EN AUXOIS,100LL,47.481111,4.343056,"10 - AVT : Carburant / Fuel : 100LL (CIV) HX ou / or O/R PN 48 HR à / to ACB. Paiement par chèque, espèces / Cheque and cash payment.",
LFGR,DONCOURT LES CONFLANS,100LL,49.151944,5.931389,"10 - AVT : Carburant / Fuel : 100 LL, Lubrifiant / Lubricant : aéro DM 15W50. HX. Paiement comptant ou par carte TOTAL. Cash payment or by TOTAL credit card.",
LFGS,LONGUYON VILLETTE,100LL,49.483611,5.571944,10 - AVT : Carburant / Fuel : 100 LL. Réservé aux aéronefs basés / Reserved for home-based ACFT.,
LFGT,SARREBOURG BUHL,,48.718333,7.080000,10 - AVT : NIL.,
LFGU,SARREGUEMINES NEUNKIRCH,100LL,49.127500,7.106667,← 10 - AVT : Carburant / Fuel : 100LL.,
LFGW,VERDUN SOMMEDIEUE,100LL,49.122222,5.470833,10 - AVT : Carburant / Fuel : 100LL. Automate carte Total / Total card automatic dispenser.,
LFGX,CHAMPAGNOLE CROTENAY,,46.763333,5.819722,10 - AVT : NIL.,
LFGY,SAINT DIE REMOMEIX,100LL,48.266389,7.007500,10 - AVT : Carburants / Fuel : 100 LL. Automate H24 : paiement carte TOTAL uniquement / H24 dispenser: payment TOTAL card only. Lubrifiants / Lubricants : NIL.,
LFGZ,NUITS SAINT GEORGES,100LL,47.142222,4.968333,"← 10 - AVT : Carburant / Fuel : 100LL, Lubrifiant / Lubricant : NIL. Uniquement sur demande, en contactant l'AD - Paiement comptant. Only O/R after contact with AD - Cash payment.",
LFHA,ISSOIRE LE BROC,100LL,45.513889,3.266111,"10 - AVT : Carburant / Fuel : 100 LL , contacter / call ACB Pierre Herbaud.",
LFHB,BISCARROSSE HYDROBASE,,44.360000,-1.167778,10 - AVT : NIL.,
LFHC,PEROUGES MEXIMIEUX,UL91,45.868611,5.186111,10 - AVT : Carburant / Fuel : UL91 (CIV-MIL) HX. Paiement comptant / Cash payment TEL : 04 27 41 01 43. Quantité limitée / Limited amount.,
LFHD,PIERRELATTE,100LL,44.397778,4.716944,"10 - AVT : Carburants / Fuel : 100 LL - Lubrifiants / Lubricants : 80 D. HJ sauf LUN et MAR. Paiement chèques, espèces, carte bleue ou carte TOTAL. HJ except on MON, TUE. Payment by cheque, cash, credit card or TOTAL card.",
LFHE,ROMANS SAINT PAUL,100LL,45.064722,5.101389,← 10 - AVT : HJ - Carburant / Fuel 100 LL sur demande à / O/R to 07 69 75 73 26 - Lubrifiant / Lubricant : NIL. HX : carte TOTAL uniquement / TOTAL card only. Automate / Automaton.,
LFHF,RUOMS,,44.444722,4.332778,10 - AVT : NIL.,
LFHG,SAINT CHAMOND L'HORME,100LL,45.491944,4.534444,10 - AVT : Réservé aux aéronefs basés / Reserved for home-based aircraft. Carburants / Fuel : 100LL. Lubrifiants / Lubricant : 80 (CIV) HJ sauf LUN / Daytime except MON.,
LFHH,VIENNE REVENTIN,100LL,45.462778,4.827778,"10 - AVT : carburant / fuel : 100LL ; lubrifiant / lubricant : qualité aviation / aviation type. (CIV-MIL) paiement comptant, quantité limitée / Cash payment, limited quantity.",
LFHI,MORESTEL,100LL,45.686944,5.452500,"10 - AVT : Carburant / Fuel : 100LL, Lubrifiant / Lubricant : NIL. O/R ACB. Paiement comptant / Cash payment.",
LFHJ,LYON CORBAS,100LL,45.652778,4.912222,10 - AVT : Carburant / Fuel : 100 LL (CIV) - Lubrifiant / Lubricant : qualité aviation / aviation quality (CIV). HX (réservé aux ACFT basés / reserved for home based ACFT ).,
LFHL,LANGOGNE LESPERON,,44.705556,3.887222,10 - AVT : NIL.,
LFHM,ALTIPORT / MOUNTAIN AIRFIELD,100LL|JET_A1,45.824444,6.648333,10 - AVT : Carburants / Fuel : 100LL. Exploitant sur AD / Operator on AD. JET A1 : MBH TEL : 04 50 92 78 00. HJ O/R 24HR paiement comptant ou par chèques / Cash payment or cheques. Lubrifiant / Lubricant : NIL.,
LFHN,BELLEGARDE VOUVRAY,100LL|UL91,46.123333,5.804722,"10 - AVT : 100 LL / UL 91 - Paiement comptant cash ou chèque à l'ACB, par CB sur rendez-vous avec l'ACB. Cash payment or cheque to ACB, credit cards by appointment with ACB.",
LFHO,AUBENAS ARDECHE MERIDIONALE,100LL|JET_A1,44.539444,4.371667,"10 - AVT : 100 LL : H24. Automate avec carte bancaire. JET A1 : du LUN au VEN sauf JF : avec préavis de 24 HR, carte bancaire uniquement. 100 LL: H24. Fuel dispenser with credit card. JET A1: from MON to FRI except HOL: with PN 24 HR, credit card only.",
LFHP,LE PUY LOUDES,100LL|JET_A1,45.079722,3.763333,"10 - AVT : HOR RFFS / RFFS SKED. Automate H24 CB / Automatic fuel dispenser H24 CB. Carburants / Fuel : 100 LL : 20 m³, JET A1 : 40 m³.",
LFHQ,SAINT FLOUR COLTINES,100LL,45.075000,2.992500,"← 10 - AVT : Carburant / Fuel : 100 LL, AKI93 Présence d'un AUTOMATE CB uniquement (carte TOTAL non acceptée) / Automatic credit card machine (TOTAL card not accepted).",
LFHR,BRIOUDE BEAUMONT,,45.323889,3.358333,10 - AVT : Réservé aux aéronefs basés.,
LFHS,BOURG CEYZERIAT,100LL|UL91,46.205556,5.291667,"10 - AVT : AVGAS 100 LL et UL 91 H24 par carte TOTAL, ou bureau de piste par chèque, espèces et CB. AVGAS 100 LL and UL 91 H24 by TOTAL card, or cheque, cash or credit card in reporting office. HOR / SKED : 0900-1600.",
LFHT,AMBERT LE POYET,100LL,45.515556,3.745000,10 - AVT : Carburants / Fuel : 100 LL. Pas de pompe automatique / No automatic fuel pump. Lubrifiants / Lubricants : qualité aviation / aviation type. (CIV) HJ O/R.,
LFHU,ALTIPORT/MOUNTAIN AIRFIELD,100LL|JET_A1,45.087500,6.083611,"10 - AVT : Carburant / Fuel : 100LL (1) - JET A1 (2) - Lubrifiant / Lubricant : NIL. (1) Association de Gestion de l'Altiport - JACK PORTE - TEL : 06 88 48 70 49. Distribution uniquement pendant les saisons touristiques, règlement par chèques ou espèces accepté. Delivery only during touristic season",
LFHV,VILLEFRANCHE TARARE,100LL|JET_A1,45.920000,4.635000,"10 - AVT : Carburant / Fuel : JET A1, AVGAS 100LL - HOR / SKED : H24. Paiement par automate carte bancaire / Payment by automatic dispenser. MIL : carte AEG acceptée sur demande auprès de l'exploitant / AEG card granted on request from operator",
LFHW,BELLEVILLE VILLIE MORGON,,46.141111,4.713889,← 10 - AVT : NIL,
LFHX,LAPALISSE PERIGNY,,46.253056,3.587500,10 - AVT : NIL,
LFHY,MOULINS MONTBEUGNY,100LL|JET_A1,46.534444,3.421667,"10 - AVT : Carburant / Fuel : 100LL, JET A1. Possibilité d'avitaillement sous pression / Coupling available. Automate avec carte TOTAL H24 / Automatic fuel dispenser with TOTAL card : H24. Lubrifiant / Lubricant : NIL. ← HOR AFIS : Paiement comptant, carte VISA / AFIS SKED : cash payment, VISA card.",
LFIB,BELVES SAINT PARDOUX,,44.781389,0.957500,10 - AVT : NIL.,
LFID,CONDOM VALENCE SUR BAÏSE,,43.909167,0.386111,← 10 - AVT : NIL,
LFIF,SAINT AFFRIQUE BELMONT,100LL,43.822778,2.747222,10 - AVT : Carburants / Fuel : 100 LL - Lubrifiant / Lubricants : NIL. O/R,
LFIG,CASSAGNES BEGONHES,,44.178333,2.517778,10 - AVT : NIL.,
LFIH,CHALAIS,,45.266944,0.015833,10 - AVT : NIL.,
LFIK,RIBERAC TOURETTE,,45.239444,0.265833,10 - AVT : NIL.,
LFIL,RION DES LANDES,,43.915833,-0.949167,10 - AVT : NIL.,
LFIM,SAINT GAUDENS MONTREJEAU,100LL,43.107500,0.619167,10 - AVT : Carburant / Fuel : 100 LL - Lubrifiant / Lubricant : 80 CIV HX - TEL : ACB du Comminges.,
LFIP,ALTIPORT / MOUNTAIN AIRFIELD,,42.796944,0.433889,10 - AVT : NIL.,
LFIR,REVEL MONTGEY,,43.480278,1.978889,"10 - AVT : Carburant / Fuel : 91 UL, O/R. TEL : 05 61 83 53 73. Paiement comptant / Cash Payment.",
LFIS,SAINT INGLEVERT LES DEUX CAPS,,50.882500,1.736111,10 - AVT : NIL.,
LFIT,TOULOUSE BOURG SAINT BERNARD,UL91,43.611111,1.724167,10 - AVT : Carburant / Fuel : UL 91. Lubrifiant / Lubricant : NIL. HX réservé aux ACFT basés / reserved for home based ACFT.,
LFIV,VENDAYS MONTALIVET,,45.380556,-1.115833,10 - AVT : NIL.,
LFIX,ITXASSOU,100LL,43.336389,-1.423333,10 - AVT : Carburant / Fuel : 100LL - Lubrifiant / Lubricant : 100. Réservé aux avions de servitude du centre de vol à voile / Reserved for service ACFT from gliding center.,
LFIY,SAINT JEAN D'ANGELY ESSOUVERT,,45.965278,-0.524444,← 10 - AVT : Carburant / Fuel : NIL.,
LFJA,CHAUMONT SEMOUTIERS,,48.091667,5.050000,10 - AVT : Carburant / Fuel : NIL,
LFJB,MAULEON,,46.903056,-0.697500,10 - AVT : NIL.,
LFJC,CLAMECY,,47.437500,3.507500,10 - AVT : NIL.,
LFJD,ALTIPORT / MOUNTAIN AIRFIELD,,46.039722,5.496111,10 - AVT : NIL.,
LFJE,ALTIPORT / MOUNTAIN AIRFIELD,,44.496667,5.403333,10 - AVT : NIL.,
LFJF,AUBENASSON,,44.695278,5.153889,10 - AVT : NIL.,
LFJH,CAZERES PALAMINY,,43.200833,1.050000,10 - AVT : NIL.,
LFJI,MARENNES,,45.823889,-1.077222,10 - AVT : NIL.,
LFJL,METZ NANCY LORRAINE,JET_A1,48.978333,6.246667,"10 - AVT : Carburant / Fuel : JET A1. LUN-DIM : pour tout ACFT commercial programmé. En dehors de ces créneaux, renseignements auprès de l'exploitant avec possibilité sur demande via astreinte. MON-SUN : for any scheduled commercial ACFT. Outside these SKED, ask AD operator with possible O/R via on ",
LFJR,ANGERS MARCE,100LL|JET_A1,47.560278,-0.312222,"10 - AVT : Carburants / Fuel : 100LL, JET A1. Lubrifiant / Lubricant : NIL. Automate H24 par carte bancaire ou badge EDEIS uniquement. Camion 13 m3 : LUN-VEN : 0730-1645 SAM-DIM : Sur demande Paiement comptant pendant les horaires d'ouverture, cartes acceptées : AEG, AVCARD, COLT Intl, WFS. Avitaill",
LFJS,SOISSONS COURMELLES,100LL,49.345000,3.283056,10 - AVT : Carburant / Fuel : 100 LL. PPR TEL : 06 20 94 03 65 Paiement comptant / Cash payment.,
LFJT,TOURS LE LOUROUX,,47.150000,0.712778,10 - AVT : NIL.,
LFJU,LURCY LEVIS,,46.712222,2.944722,10 - AVT : NIL.,
LFJV,LASCLAVERIES,,43.425278,-0.286944,10 - AVT : NIL.,
LFJY,CHAMBLEY,100LL|JET_A1|UL91,49.025556,5.876111,"← 10 - AVT : 100 LL : Paiements cartes TOTAL H24 / Payment TOTAL card H24. 100 LL, UL91 : O/R paiements par CB, cash, chèque / O/R payments by credit card, cash, cheque. JET A1 : Paiements / payments CB H24. O/R paiements par cash, chèque / O/R payments by cash, cheque. TEL : 03 29 89 30 10 ou / or ",
LFKA,ALBERTVILLE GAL P. DELACHENAL,100LL|JET_A1,45.626389,6.328889,"10 - AVT : Carburant / Fuel : JET A1 auprès du / ask for SAF, 100 LL HX auprès de / ask for ACB. Paiement comptant et cartes de crédit TOTAL / Cash payment and TOTAL credit card.",
LFKB,BASTIA PORETTA,100LL|JET_A1,42.550000,9.484722,← 10 - AVT : Carburants / Fuel : 100 LL. JET A1 - 0600-1800. En dehors de ces HOR O/R avant 1500 pour JET A1 Outside these SKED O/R before 1500 for JET A1 TEL : 04 95 54 54 74. Lubrifiants / Lubricants : NIL. Paiement : cartes BP (ou CB) Payment : BP cards (or CB),
LFKC,CALVI SAINTE CATHERINE,100LL|JET_A1,42.524444,8.793056,"10 - AVT : Carburants / Fuel : 100LL, JET A1 (par camions / by trucks). ETE / SUM : 0600 - 1000, 1200 - 1600 HIV / WIN : 0800 - 1100, 1400 - 1700 En dehors de ces horaires : PPR 1 HR sauf vols commerciaux programmés. Outside these SKED : PPR 1 HR except for scheduled commercial flights. Moyens de pa",
LFKD,SOLLIERES SARDIERES,,45.253889,6.801111,10 - AVT : NIL.,
LFKE,SAINT JEAN EN ROYANS,,45.026389,5.309167,← 10 - AVT : NIL.,
LFKF,FIGARI SUD CORSE,100LL,41.502222,9.096667,10 - AVT : Carburants / Fuel : 100LL- JET- A1 - Lubrifiant / Lubricant : NIL. HOR : 0400 - 2000. Extension si départ planifié après 2000 / Extension if departure planned after 2000. TEL : 06 35 24 05 88. Aviation Générale : PPR obligatoire auprès de l'exploitant / General aviation : PPR mandatory fr,
LFKG,GHISONACCIA ALZITONE,100LL|JET_A1,42.054444,9.400278,"10 - AVT : Carburant / Fuel : 100 LL, Jet A1, réservé aux ACFT basés - disponible avec préavis ou sur demande incluse dans le PPR / reserved for home-based ACFT - available with prior notice or with prior request included in PPR. Lubrifiant / Lubricant : NIL.",
LFKH,SAINT JEAN D'AVELANNE,,45.515833,5.679444,10 - AVT : NIL.,
LFKJ,AJACCIO NAPOLEON BONAPARTE,100LL|JET_A1,41.923611,8.795278,"10 - AVT : Carburants / Fuel : 100LL – JET A1/TR0. AIR BP (CIV-MIL) 0500-1900 - TEL : 06 70 87 87 82. Lubrifiant / Lubricant : NIL En dehors de ces HOR, uniquement sur demande à l'atterrissage avec délai d'intervention maxi de 2HR. TEL : 04 95 22 79 81. Station automatique AVGAS 100LL H24 avec carte",
LFKL,LYON BRINDAS,100LL,45.710556,4.696667,10 - AVT : Carburants / Fuel : 100 LL possible : O/R TEL : ACB.,
LFKM,SAINT GALMIER,,45.606389,4.305000,10 - AVT : NIL.,
LFKO,PROPRIANO,JET_A1,41.660278,8.893889,"10 - AVT : Jet A1 - AVGAS - Automat (Carte bleue VISA, Master card).",
LFKP,LA TOUR DU PIN CESSIEU,,45.557500,5.386111,10 - AVT : Carburant / Fuel : NIL.,
LFKR,SAINT REMY DE MAURIENNE,100LL,45.375000,6.277778,"10 - AVT : Carburant / Fuel : 100LL HOR / SKED ACB, Lubrifiant / Lubricant : NIL.",
LFKT,CORTE,,42.290278,9.192500,10 - AVT : NIL.,
LFKX,ATTERRISSAGE A VUE ALTIPORT/MOUNTAIN,,45.407500,6.577500,10 - AVT : NIL.,
LFKY,BELLEY PEYRIEU,100LL,45.693889,5.691667,"10 - AVT : Carburant / Fuel : 100 LL. Lubrifiants / Lubricants : Aero DM (CIV) SAM, DIM et JF / SAT, SUN and public HOL : HX.",
LFLA,AUXERRE BRANCHES,100LL|JET_A1,47.846389,3.496667,10 - AVT : Carburants / Fuel : 100 LL - JET A1. Lubrifiants / Lubricants : NIL. H 24 carte TOTAL / TOTAL card. Paiement comptant / Cash payment : HOR ATS / ATS SKED.,
LFLB,CHAMBERY AIX LES BAINS,100LL|JET_A1,45.639167,5.880000,"10 - AVT : Carburants / Fuel : 100LL, JET A1 : HOR / SKED voir / see NOTAM (Automate 100LL uniquement avec carte BP / Autofuel terminal 100LL only with BP card). Lubrifiants / Lubricants : NIL. Paiement / Payment 100LL : Cartes de crédit Visa, Mastercard - BP - Espèces : € / Visa Credit Cards, Maste",
LFLC,CLERMONT FERRAND AUVERGNE,100LL|JET_A1,45.786111,3.162500,10 - AVT : Carburants / Fuel TOTAL ENERGIES : 100 LL. JET A1 TRO (MIL). Lubrifiants / Lubricants : NIL. Tous aéronefs / All ACFT 0500-2100 : JET A1 et / and JET A1 SAF. Station autonome ouverte / Self service station open H24 : AVGAS 100LL et / and JET A1. TEL : +33 4 73 62 71 15 - E-mail : avitaill,
LFLD,BOURGES,100LL|JET_A1,47.060833,2.370000,"10 - AVT : Carburants / Fuel : 100LL - Jet A1. Possible H24 par carte bancaire. / Available with credit card H24. LUN-VEN : 0730-1700. SAM, DIM et JF : 0730-1600. MON-FRI: 0730-1700. SAT, SUN and HOL: 0730-1600. © Service de l'Information Aéronautique, France AMDT 13/24 AD 2 LFLD TXT 03 AIP FRANCE 2",
LFLE,CHAMBERY CHALLES LES EAUX,100LL,45.560556,5.975833,10 - AVT : 100 LL - Paiement par carte TOTAL uniquement / Payment only by TOTAL card.,
LFLG,GRENOBLE LE VERSOUD,100LL|JET_A1|UL91,45.218056,5.848611,"10 - AVT : Carburant / Fuel : AVGAS 100LL - UL91 - JET A1. Lubrifiant / Lubricant : NIL. Libre service : H24 avec les cartes Air BP, Sterling Card pour AVGAS 100LL - UL91 - JET A1. H24 avec CB VISA et MASTERCARD pour UL91 uniquement. Service par agent avitailleur : AVGAS 100LL et JET A1 uniquement. ",
LFLH,CHALON CHAMPFORGEUIL,100LL|JET_A1,46.828333,4.816944,"10 - AVT : Carburant : AVGAS 100LL, JET A1. Paiement carte de credit via Automate H24 ou espèces, Fuel release AEG, WFS, JETEX 0800-1700 Lubrifiant : O/R par téléphone 03 85 46 14 48, 0700-1700 Fuel : AVGAS 100LL, JET A1. Payment by credit card H24 or cash, Fuel release AEG, WFS, JETEX 0800-1700 Lub",
LFLI,ANNEMASSE,100LL|JET_A1,46.191944,6.268333,"10 - AVT : Carburants / Fuel : 100LL, JET A1 . Lubrifiants / Lubricants : 80, 100 (CIV-MIL) HJ, Paiement comptant et cartes de crédit TOTAL / Cash payment and TOTAL credit cards.",
LFLJ,ALTIPORT/MOUNTAIN AIRFIELD,100LL|JET_A1,45.395833,6.632500,← 10 - AVT : Carburants / Fuel : 100 LL. Exploitant sur AD / Operator on AD. JET A1 HEL : SOCIETE SAF - TEL : 04 79 08 00 91. - E-mail : ops@saf-helico.com JET A1 ACFT : NIL.,
LFLL,LYON SAINT EXUPERY,JET_A1,45.725556,5.081111,10 - AVT : Carburant / Fuel : JET A1. Lubrifiants / Lubricants : ELF 80 - F 100 (CIV-MIL). Cartes de crédit ou paiement comptant / credit card or cash. HOR/ SKED : H24 camions avitailleurs. Pas de restrictions / H24 fueling trucks. No restrictions. HN : PN 20 min pour / for HOR / SKED : 2300-0230.,
LFLM,MACON CHARNAY,100LL,46.295833,4.795833,"10 - AVT : Carburants / Fuel : MAR-SAM : 0800-1100, 1230-1600 sauf jours feriés : - SANS PLOMB 98 et 100LL : paiement liquide, carte bancaire ou chèque - 100LL : tous les jours avec carte total. TUE-SAT: 0800-1100, 1230-1600 Except bank holidays. - UNLEADED 98 and 100LL : cash payment, credit card o",
LFLN,SAINT YAN,100LL|JET_A1,46.406667,4.021111,"10 - AVT : Carburant / Fuel : 100 LL - JET A1. Sauf JF / Except public HOL. HIV / WIN : - LUN, MER, VEN / MON, WED, FRI : 0630-1830 - MAR, JEU / TUE, THU : 0630-2030 ETE / SUM : - LUN, MER, VEN / MON, WED, FRI : 0530-1930 - MAR, JEU / TUE, THU : 0530-2115 En dehors de ces HOR, avitaillement possible",
LFLO,ROANNE,100LL|JET_A1|UL91,46.052778,3.999722,"← 10 - AVT : Carburants / Fuel : 100 LL, Jet A1, UL91 HOR AFIS / AFIS SKED Lubrifiants / Lubricants : NIL Paiement comptant, cartes bancaires, chèques / Cash, credit cards, cheques. Tous carburants / All fuels : CB H24 Exonération TIC uniquement en présence de RFFS / TIC exemption only in the presen",
LFLP,ANNECY MEYTHET,100LL|JET_A1,45.930833,6.106389,"10 - AVT : Carburants / Fuel : 100 LL (à la pompe suivre la ligne 7 / at the pump follow line 7 ) - JET A1 (au parking / on parking) HOR : voir NOTAM / SKED : see NOTAM. Carte TOTAL, VISA, MASTERCARD, espèces auros. TOTAL card, VISA, MASTERCARD, cash auros. TEL : 04 50 27 22 50 / 06 61 70 98 22. © S",
